Date : 2024-04-30 00:26:23
Directory : c:\Users\Eimantas\Desktop\New folder (4)\fintech
Total : 57 files,  25928 codes, 190 comments, 281 blanks, all 26399 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          3 |     22,796 |          0 |          3 |     22,799 |
| TypeScript JSX     |         22 |      1,675 |         25 |        169 |      1,869 |
| TypeScript         |         12 |      1,140 |         10 |         26 |      1,176 |
| Gradle             |          3 |        132 |         70 |         35 |        237 |
| XML                |         10 |         93 |         23 |          6 |        122 |
| Batch              |          1 |         41 |         29 |         22 |         92 |
| Properties         |          3 |         20 |         33 |         14 |         67 |
| JSON with Comments |          1 |         17 |          0 |          1 |         18 |
| JavaScript         |          2 |         14 |          0 |          5 |         19 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                              | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                 |         57 |     25,928 |        190 |        281 |     26,399 |
| . (Files)                                                                                                         |          6 |     22,822 |          0 |          5 |     22,827 |
| android                                                                                                           |         16 |        284 |        155 |         77 |        516 |
| android (Files)                                                                                                   |          4 |         98 |         65 |         46 |        209 |
| android\app                                                                                                       |         11 |        179 |         90 |         30 |        299 |
| android\app (Files)                                                                                               |          1 |         86 |         67 |         24 |        177 |
| android\app\src                                                                                                   |         10 |         93 |         23 |          6 |        122 |
| android\app\src\debug                                                                                             |          1 |          5 |          0 |          3 |          8 |
| android\app\src\main                                                                                              |          9 |         88 |         23 |          3 |        114 |
| android\app\src\main (Files)                                                                                      |          1 |         34 |          0 |          0 |         34 |
| android\app\src\main\res                                                                                          |          8 |         54 |         23 |          3 |         80 |
| android\app\src\main\res\drawable                                                                                 |          2 |         14 |         23 |          3 |         40 |
| android\app\src\main\res\mipmap-anydpi-v26                                                                        |          2 |         10 |          0 |          0 |         10 |
| android\app\src\main\res\values                                                                                   |          3 |         29 |          0 |          0 |         29 |
| android\app\src\main\res\values-night                                                                             |          1 |          1 |          0 |          0 |          1 |
| android\gradle                                                                                                    |          1 |          7 |          0 |          1 |          8 |
| android\gradle\wrapper                                                                                            |          1 |          7 |          0 |          1 |          8 |
| app                                                                                                               |         19 |      2,377 |         20 |        148 |      2,545 |
| app (Files)                                                                                                       |          7 |        639 |         13 |         78 |        730 |
| app\api                                                                                                           |          3 |        944 |          2 |         11 |        957 |
| app\authentication                                                                                                |          6 |        480 |          4 |         40 |        524 |
| app\authentication\(tabs)                                                                                         |          6 |        480 |          4 |         40 |        524 |
| app\authentication\(tabs) (Files)                                                                                 |          5 |        254 |          3 |         29 |        286 |
| app\authentication\(tabs)\cryptoCurrency                                                                          |          1 |        226 |          1 |         11 |        238 |
| app\interfaces                                                                                                    |          1 |         45 |          0 |          3 |         48 |
| app\verificationEmail                                                                                             |          1 |        136 |          1 |          8 |        145 |
| app\verificationPhone                                                                                             |          1 |        133 |          0 |          8 |        141 |
| components                                                                                                        |         12 |        309 |         15 |         45 |        369 |
